school,gender,age,address,famsize,parentstatus,motheredu,fatheredu,motherjob,fatherjob,reason,guardian,traveltime,studytime,failures,schoolsupport,famsupport,extraclasses,extracurriculars,attendednursery,wantshigheredu,internetaccess,romanticrel,famrelrating,freetimerating,gooutrating,alcweekday,alcweekend,healthrating,absences,CLASS
GP,F,18,Urban,greater_than_3,Apart,higher,higher,at_home,teacher,course,mother,15_to_30min,2_to_5hr,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,F
GP,F,17,Urban,greater_than_3,Together,primary,primary,at_home,other,course,father,less_than_15min,2_to_5hr,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,F
GP,F,15,Urban,less_than_3,Together,primary,primary,at_home,other,other,mother,less_than_15min,2_to_5hr,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,F
GP,F,15,Urban,greater_than_3,Together,higher,intermediate,health,services,home,mother,less_than_15min,5_to_10hr,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,B
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,other,home,father,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,F
GP,M,16,Urban,less_than_3,Together,higher,secondary,services,other,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,B
GP,M,16,Urban,less_than_3,Together,intermediate,intermediate,other,other,home,mother,less_than_15min,2_to_5hr,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,C
GP,F,17,Urban,greater_than_3,Apart,higher,higher,other,teacher,home,mother,15_to_30min,2_to_5hr,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,F
GP,M,15,Urban,less_than_3,Apart,secondary,intermediate,services,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,A
GP,M,15,Urban,greater_than_3,Together,secondary,higher,other,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,B
GP,F,15,Urban,greater_than_3,Together,higher,higher,teacher,health,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,C
GP,F,15,Urban,greater_than_3,Together,intermediate,primary,services,other,reputation,father,30min_to_1hr,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,C
GP,M,15,Urban,less_than_3,Together,higher,higher,health,services,course,father,less_than_15min,less_than_2hr,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,B
GP,M,15,Urban,greater_than_3,Together,higher,secondary,teacher,other,course,mother,15_to_30min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,C
GP,M,15,Urban,greater_than_3,Apart,intermediate,intermediate,other,other,home,other,less_than_15min,5_to_10hr,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,B
GP,F,16,Urban,greater_than_3,Together,higher,higher,health,other,home,mother,less_than_15min,less_than_2hr,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,B
GP,F,16,Urban,greater_than_3,Together,higher,higher,services,services,reputation,mother,less_than_15min,5_to_10hr,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,B
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,other,reputation,mother,30min_to_1hr,2_to_5hr,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,F
GP,M,17,Urban,greater_than_3,Together,secondary,intermediate,services,services,course,mother,less_than_15min,less_than_2hr,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,F
GP,M,16,Urban,less_than_3,Together,higher,secondary,health,other,home,father,less_than_15min,less_than_2hr,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,F
GP,M,15,Urban,greater_than_3,Together,higher,secondary,teacher,other,reputation,mother,less_than_15min,2_to_5hr,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,B
GP,M,15,Urban,greater_than_3,Together,higher,higher,health,health,other,father,less_than_15min,less_than_2hr,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,C
GP,M,16,Urban,less_than_3,Together,higher,intermediate,teacher,other,course,mother,less_than_15min,2_to_5hr,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,B
GP,M,16,Urban,less_than_3,Together,intermediate,intermediate,other,other,reputation,mother,15_to_30min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,B
GP,F,15,Rural,greater_than_3,Together,intermediate,higher,services,health,course,mother,less_than_15min,5_to_10hr,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,C
GP,F,16,Urban,greater_than_3,Together,intermediate,intermediate,services,services,home,mother,less_than_15min,less_than_2hr,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,F
GP,M,15,Urban,greater_than_3,Together,intermediate,intermediate,other,other,home,mother,less_than_15min,less_than_2hr,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,C
GP,M,15,Urban,greater_than_3,Together,higher,intermediate,health,services,other,mother,less_than_15min,less_than_2hr,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,B
GP,M,16,Urban,less_than_3,Apart,secondary,higher,services,other,home,mother,less_than_15min,2_to_5hr,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,C
GP,M,16,Urban,greater_than_3,Together,higher,higher,teacher,teacher,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,C
GP,M,15,Urban,greater_than_3,Together,higher,higher,health,services,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,F
GP,M,15,Urban,greater_than_3,Together,higher,higher,services,services,reputation,mother,15_to_30min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,A
GP,M,15,Rural,greater_than_3,Together,higher,secondary,teacher,at_home,course,mother,less_than_15min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,A
GP,M,15,Urban,less_than_3,Together,secondary,secondary,other,other,course,mother,less_than_15min,2_to_5hr,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,F
GP,M,16,Urban,greater_than_3,Together,secondary,intermediate,other,other,home,mother,less_than_15min,less_than_2hr,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,C
GP,F,15,Urban,greater_than_3,Together,intermediate,secondary,other,other,other,father,15_to_30min,less_than_2hr,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,F
GP,M,15,Urban,less_than_3,Together,higher,secondary,teacher,services,home,mother,less_than_15min,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,B
GP,M,16,Rural,greater_than_3,Apart,higher,higher,other,teacher,reputation,mother,15_to_30min,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,B
GP,F,15,Rural,greater_than_3,Together,secondary,higher,services,health,course,mother,less_than_15min,5_to_10hr,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,C
GP,F,15,Rural,greater_than_3,Together,intermediate,intermediate,at_home,other,reputation,mother,less_than_15min,less_than_2hr,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,B
GP,F,16,Urban,less_than_3,Together,intermediate,intermediate,other,other,home,mother,15_to_30min,2_to_5hr,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,F
GP,M,15,Urban,less_than_3,Together,higher,higher,teacher,other,home,other,less_than_15min,less_than_2hr,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,C
GP,M,15,Urban,greater_than_3,Together,higher,higher,services,teacher,course,father,less_than_15min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,A
GP,M,15,Urban,greater_than_3,Together,intermediate,intermediate,services,services,course,father,less_than_15min,less_than_2hr,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,F
GP,F,16,Urban,less_than_3,Together,intermediate,intermediate,other,at_home,course,father,15_to_30min,2_to_5hr,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,C
GP,F,15,Urban,less_than_3,Apart,higher,secondary,other,other,course,mother,less_than_15min,2_to_5hr,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,F
GP,F,16,Urban,less_than_3,Apart,secondary,secondary,other,services,home,mother,less_than_15min,2_to_5hr,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,C
GP,M,16,Urban,greater_than_3,Together,higher,secondary,health,services,reputation,mother,less_than_15min,greater_than_10,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,A
GP,M,15,Urban,greater_than_3,Together,higher,intermediate,teacher,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,B
GP,F,15,Urban,greater_than_3,Together,higher,higher,services,teacher,other,father,less_than_15min,2_to_5hr,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,F
GP,F,16,Urban,less_than_3,Together,intermediate,intermediate,services,services,course,mother,30min_to_1hr,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,C
GP,F,15,Urban,less_than_3,Together,higher,intermediate,health,other,other,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,C
GP,M,15,Urban,less_than_3,Apart,higher,intermediate,health,health,other,father,15_to_30min,less_than_2hr,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,C
GP,F,15,Urban,greater_than_3,Together,higher,higher,services,services,course,mother,less_than_15min,less_than_2hr,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,F
GP,F,15,Urban,less_than_3,Apart,secondary,secondary,other,other,other,mother,less_than_15min,less_than_2hr,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,C
GP,F,16,Urban,greater_than_3,Apart,intermediate,primary,other,other,other,mother,less_than_15min,2_to_5hr,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,F
GP,F,15,Urban,greater_than_3,Apart,higher,secondary,services,services,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,B
GP,M,15,Urban,greater_than_3,Together,higher,higher,teacher,health,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,B
GP,M,15,Urban,less_than_3,Together,primary,intermediate,other,at_home,home,father,less_than_15min,2_to_5hr,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,F
GP,F,16,Urban,greater_than_3,Together,higher,intermediate,services,other,course,mother,less_than_15min,2_to_5hr,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,B
GP,F,16,Rural,greater_than_3,Together,higher,higher,health,teacher,other,mother,less_than_15min,2_to_5hr,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,C
GP,F,16,Urban,greater_than_3,Together,primary,primary,services,services,course,father,greater_than_1hr,less_than_2hr,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,C
GP,F,16,Urban,less_than_3,Together,primary,intermediate,other,services,reputation,father,less_than_15min,2_to_5hr,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,F
GP,F,16,Urban,greater_than_3,Together,higher,secondary,teacher,health,home,mother,less_than_15min,5_to_10hr,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,C
GP,F,15,Urban,less_than_3,Together,higher,secondary,services,services,reputation,father,less_than_15min,2_to_5hr,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,C
GP,F,16,Urban,less_than_3,Together,higher,secondary,teacher,services,course,mother,30min_to_1hr,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,A
GP,M,15,Urban,greater_than_3,Apart,higher,higher,other,services,reputation,mother,less_than_15min,greater_than_10,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,B
GP,F,16,Urban,greater_than_3,Together,secondary,primary,services,other,course,mother,less_than_15min,greater_than_10,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,F
GP,F,15,Rural,less_than_3,Together,intermediate,intermediate,health,services,reputation,mother,15_to_30min,2_to_5hr,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,F
GP,F,15,Rural,less_than_3,Together,secondary,primary,other,other,reputation,father,15_to_30min,greater_than_10,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,A
GP,M,16,Urban,greater_than_3,Together,secondary,primary,other,other,reputation,father,15_to_30min,greater_than_10,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,B
GP,M,15,Urban,greater_than_3,Together,higher,intermediate,other,other,course,mother,less_than_15min,greater_than_10,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,C
GP,F,15,Rural,greater_than_3,Together,primary,primary,other,other,reputation,mother,less_than_15min,2_to_5hr,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,F
GP,M,16,Urban,greater_than_3,Together,secondary,primary,other,other,reputation,mother,less_than_15min,less_than_2hr,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,C
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,services,home,mother,less_than_15min,2_to_5hr,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,C
GP,M,15,Urban,greater_than_3,Together,higher,secondary,teacher,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,F
GP,M,15,Urban,greater_than_3,Together,higher,none,teacher,other,course,mother,15_to_30min,greater_than_10,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,C
GP,F,16,Urban,greater_than_3,Together,intermediate,intermediate,other,other,reputation,mother,less_than_15min,greater_than_10,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,C
GP,M,17,Urban,greater_than_3,Together,intermediate,primary,other,other,home,mother,15_to_30min,less_than_2hr,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,F
GP,F,16,Urban,greater_than_3,Together,secondary,higher,at_home,other,course,mother,less_than_15min,2_to_5hr,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,F
GP,M,15,Urban,greater_than_3,Together,intermediate,secondary,other,services,course,father,less_than_15min,less_than_2hr,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,C
GP,M,15,Urban,greater_than_3,Together,intermediate,secondary,other,other,home,mother,less_than_15min,5_to_10hr,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,C
GP,F,15,Urban,less_than_3,Together,secondary,intermediate,services,other,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,F
GP,M,15,Urban,less_than_3,Together,intermediate,intermediate,services,services,home,mother,15_to_30min,2_to_5hr,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,B
GP,F,15,Urban,greater_than_3,Together,primary,primary,other,other,home,father,less_than_15min,2_to_5hr,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,F
GP,F,15,Urban,greater_than_3,Together,higher,higher,services,services,reputation,father,15_to_30min,2_to_5hr,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,F
GP,F,16,Urban,less_than_3,Together,intermediate,intermediate,at_home,other,course,mother,less_than_15min,2_to_5hr,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,F
GP,F,15,Urban,greater_than_3,Together,higher,intermediate,other,other,reputation,mother,less_than_15min,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,B
GP,M,16,Urban,greater_than_3,Together,intermediate,intermediate,services,other,reputation,father,15_to_30min,2_to_5hr,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,C
GP,M,16,Urban,less_than_3,Apart,higher,higher,teacher,health,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,F
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,other,home,mother,less_than_15min,5_to_10hr,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,F
GP,F,15,Urban,greater_than_3,Together,higher,secondary,services,other,reputation,mother,less_than_15min,less_than_2hr,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,A
GP,F,16,Urban,less_than_3,Together,secondary,primary,other,other,home,father,less_than_15min,2_to_5hr,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,F
GP,F,16,Urban,greater_than_3,Together,higher,intermediate,teacher,services,home,mother,15_to_30min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,C
GP,M,15,Urban,less_than_3,Together,intermediate,intermediate,services,health,reputation,mother,less_than_15min,greater_than_10,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,C
GP,F,15,Rural,greater_than_3,Together,primary,primary,at_home,other,home,mother,15_to_30min,greater_than_10,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,F
GP,M,16,Rural,greater_than_3,Together,higher,secondary,services,other,reputation,mother,15_to_30min,less_than_2hr,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,C
GP,F,16,Urban,greater_than_3,Together,intermediate,primary,other,other,course,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,F
GP,F,16,Urban,greater_than_3,Together,higher,higher,other,other,reputation,mother,less_than_15min,less_than_2hr,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,C
GP,F,16,Urban,greater_than_3,Together,higher,secondary,other,at_home,course,mother,less_than_15min,5_to_10hr,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,F
GP,M,16,Urban,greater_than_3,Together,higher,higher,services,services,other,mother,less_than_15min,less_than_2hr,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,F
GP,M,16,Urban,greater_than_3,Together,higher,higher,services,teacher,other,father,less_than_15min,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,A
GP,M,15,Urban,greater_than_3,Together,higher,higher,services,other,course,mother,less_than_15min,less_than_2hr,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,C
GP,F,15,Urban,greater_than_3,Together,secondary,intermediate,services,other,home,mother,15_to_30min,2_to_5hr,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,F
GP,M,15,Urban,greater_than_3,Apart,secondary,higher,services,other,course,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,A
GP,F,15,Urban,greater_than_3,Apart,secondary,secondary,other,health,reputation,father,less_than_15min,greater_than_10,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,C
GP,F,15,Urban,greater_than_3,Together,intermediate,intermediate,other,other,course,mother,less_than_15min,greater_than_10,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,F
GP,M,16,Urban,greater_than_3,Together,secondary,secondary,services,other,home,father,less_than_15min,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,A
GP,M,15,Rural,greater_than_3,Together,higher,higher,other,other,home,father,greater_than_1hr,greater_than_10,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,C
GP,F,16,Urban,less_than_3,Together,higher,higher,health,health,other,mother,less_than_15min,5_to_10hr,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,B
GP,M,15,Urban,less_than_3,Apart,higher,higher,teacher,teacher,course,mother,less_than_15min,less_than_2hr,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,A
GP,F,16,Rural,greater_than_3,Together,secondary,secondary,services,other,reputation,father,less_than_15min,5_to_10hr,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,F
GP,F,16,Urban,greater_than_3,Together,intermediate,intermediate,at_home,other,home,mother,less_than_15min,2_to_5hr,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,C
GP,M,15,Urban,less_than_3,Together,higher,intermediate,teacher,other,course,mother,less_than_15min,less_than_2hr,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,A
GP,M,15,Rural,greater_than_3,Together,intermediate,primary,health,services,reputation,mother,less_than_15min,2_to_5hr,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,F
GP,M,16,Urban,greater_than_3,Together,higher,higher,teacher,teacher,course,father,less_than_15min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,B
GP,M,15,Urban,greater_than_3,Together,higher,higher,other,teacher,reputation,father,15_to_30min,2_to_5hr,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,C
GP,M,16,Urban,greater_than_3,Together,secondary,secondary,other,services,home,father,15_to_30min,less_than_2hr,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,B
GP,M,17,Rural,greater_than_3,Together,primary,secondary,other,other,course,father,30min_to_1hr,2_to_5hr,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,F
GP,M,15,Urban,greater_than_3,Together,secondary,higher,other,other,reputation,father,less_than_15min,less_than_2hr,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,B
GP,F,15,Urban,greater_than_3,Together,primary,intermediate,at_home,services,course,mother,less_than_15min,2_to_5hr,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,A
GP,M,15,Urban,greater_than_3,Together,intermediate,intermediate,services,services,home,father,less_than_15min,greater_than_10,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,A
GP,F,16,Urban,less_than_3,Together,intermediate,higher,other,health,course,father,15_to_30min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,B
GP,M,16,Urban,greater_than_3,Together,higher,higher,health,other,course,mother,less_than_15min,less_than_2hr,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,B
GP,F,16,Urban,greater_than_3,Together,intermediate,intermediate,other,other,home,mother,less_than_15min,2_to_5hr,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,F
GP,M,15,Urban,greater_than_3,Together,secondary,higher,services,services,home,father,less_than_15min,less_than_2hr,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,B
GP,F,15,Urban,less_than_3,Apart,secondary,higher,other,other,home,mother,less_than_15min,2_to_5hr,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,F
GP,F,19,Urban,greater_than_3,Together,none,primary,at_home,other,course,other,less_than_15min,2_to_5hr,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,F
GP,M,18,Rural,greater_than_3,Together,intermediate,intermediate,services,other,reputation,mother,less_than_15min,less_than_2hr,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,F
